datasetID	asv	kingdom	phylum	class	order	family	genus	specificEpithet	infraspecificEpithet	otu
SBDI-ASV-191208	ASVBAC001283	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	Edaphobacter			
SBDI-ASV-191208	ASVBAC001090	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae				
SBDI-ASV-191208	ASVBAC001146	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	Granulicella_A	mallensis		
SBDI-ASV-191208	ASVBAC001459	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae				
SBDI-ASV-191208	ASVBAC001588	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	Terracidiphilus	gabretensis		
SBDI-ASV-191208	ASVBAC001708	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	Edaphobacter			
SBDI-ASV-191208	ASVBAC001746	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	Acidobacterium	capsulatum		
SBDI-ASV-191208	ASVBAC001881	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	Acidobacterium	capsulatum		
SBDI-ASV-191208	ASVBAC001899	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	Terriglobus	roseus_A		
SBDI-ASV-191208	ASVBAC001970	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae				
SBDI-ASV-191208	ASVBAC002093	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae				
SBDI-ASV-191208	ASVBAC002233	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae				
SBDI-ASV-191208	ASVBAC001664	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	Edaphobacter			
SBDI-ASV-191208	ASVBAC001895	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	Terriglobus	roseus_A		
SBDI-ASV-191208	ASVBAC002887	Bacteria								
SBDI-ASV-191208	ASVBAC001851	Bacteria								
SBDI-ASV-191208	ASVBAC002022	Bacteria								
SBDI-ASV-191208	ASVBAC002838	Bacteria								
SBDI-ASV-191208	ASVBAC001075	Bacteria	Acidobacteriota	Acidobacteriae	Solibacterales	Solibacteraceae	KBS-96			
SBDI-ASV-191208	ASVBAC001128	Bacteria	Acidobacteriota	Acidobacteriae	Solibacterales	Solibacteraceae	Solibacter	usitatus		
SBDI-ASV-191208	ASVBAC001204	Bacteria	Acidobacteriota	Acidobacteriae	Solibacterales	Solibacteraceae	Solibacter	usitatus		
SBDI-ASV-191208	ASVBAC001808	Bacteria	Acidobacteriota	Acidobacteriae	Solibacterales	Solibacteraceae	KBS-96			
SBDI-ASV-191208	ASVBAC001958	Bacteria	Acidobacteriota	Acidobacteriae	Solibacterales	Solibacteraceae	KBS-96			
SBDI-ASV-191208	ASVBAC002024	Bacteria	Acidobacteriota	Acidobacteriae	Solibacterales	Solibacteraceae	KBS-96			
SBDI-ASV-191208	ASVBAC002169	Bacteria	Acidobacteriota	Acidobacteriae	Solibacterales	Solibacteraceae	KBS-96			
SBDI-ASV-191208	ASVBAC002269	Bacteria	Acidobacteriota	Acidobacteriae	Solibacterales	Solibacteraceae	KBS-96			
SBDI-ASV-191208	ASVBAC002286	Bacteria	Acidobacteriota	Acidobacteriae	Solibacterales	Solibacteraceae	KBS-96			
SBDI-ASV-191208	ASVBAC002382	Bacteria	Acidobacteriota	Acidobacteriae	Solibacterales	Solibacteraceae	Solibacter	usitatus		
SBDI-ASV-191208	ASVBAC002433	Bacteria	Acidobacteriota	Acidobacteriae	Solibacterales	Solibacteraceae	KBS-96			
SBDI-ASV-191208	ASVBAC002574	Bacteria	Acidobacteriota	Acidobacteriae	Solibacterales	Solibacteraceae	KBS-96			
SBDI-ASV-191208	ASVBAC002684	Bacteria	Acidobacteriota	Acidobacteriae	Solibacterales	Solibacteraceae	KBS-96			
SBDI-ASV-191208	ASVBAC002894	Bacteria	Acidobacteriota	Acidobacteriae	Solibacterales	Solibacteraceae	KBS-96			
SBDI-ASV-191208	ASVBAC001906	Bacteria	Acidobacteriota	Acidobacteriae	Solibacterales	Solibacteraceae	Solibacter	usitatus		
SBDI-ASV-191208	ASVBAC002898	Bacteria	Acidobacteriota	Blastocatellia	Pyrinomonadales	Pyrinomonadaceae	OLB17			
SBDI-ASV-191208	ASVBAC001010	Bacteria	Acidobacteriota	Luteitaleia	Luteitaleales	SCN-69-37	SCN-69-37			
SBDI-ASV-191208	ASVBAC001076	Bacteria	Acidobacteriota	Luteitaleia	Luteitaleales	Luteitaleaceae	Luteitalea	pratensis		
